offense,number,cleared,cleared_under_18,month,year
b. Trucks and Buses,10,2,,5,2016
c. Other Vehicles,118,8,3,5,2016
8. Arson,37,6,3,5,2016
9. Human Trafficking - Commercial Sex Act,,,,5,2016
10. Human Trafficking - Involuntary Servitude,1,,,5,2016
Grand Total,"8,427","3,249",324,5,2016
Index Violent Crime,713,377,30,5,2016
Index Property Crime,"5,228","1,071",97,5,2016
Part I Crime (Index Crime),"5,941","1,448",127,5,2016
1. Criminal Homicide,7,3,,6,2016
a. Murder and Nonnegligent Homicide,6,3,,6,2016
b. Manslaughter by Negligence,1,,,6,2016
2. Forcible Rape Total,75,30,6,6,2016
a. Rape by Force,72,28,6,6,2016
b. Attempts to commit Forcible Rape,3,2,,6,2016
3. Robbery Total,221,67,12,6,2016
a. Firearm,62,15,2,6,2016
b. Knife or Cutting Instrument,21,7,,6,2016
c. Other Dangerous Weapon,25,9,,6,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",113,36,10,6,2016
4. Assault Total,"2,704","1,830",177,6,2016
a. Firearm,54,19,2,6,2016
b. Knife or Cutting Instrument,117,72,2,6,2016
c. Other Dangerous Weapon,154,87,7,6,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",95,80,5,6,2016
Aggravated Assault Total,420,258,16,6,2016
"4e. Other Assaults - Simple, Not Aggravated","2,284","1,572",161,6,2016
5. Burglary Total,968,112,15,6,2016
a. Forcible Entry,539,58,6,6,2016
b. Unlawful Entry - No Force,334,45,9,6,2016
c. Attempted Forcible Entry,95,9,,6,2016
6. Larceny - Theft Total,"4,087",856,70,6,2016
7. Motor Vehicle Theft Total,643,73,18,6,2016
a. Autos,514,56,14,6,2016
b. Trucks and Buses,13,2,1,6,2016
c. Other Vehicles,116,15,3,6,2016
8. Arson,41,12,2,6,2016
9. Human Trafficking - Commercial Sex Act,,,,6,2016
10. Human Trafficking - Involuntary Servitude,,,,6,2016
Grand Total,"8,746","2,983",300,6,2016
Index Violent Crime,722,358,34,6,2016
Index Property Crime,"5,739","1,053",105,6,2016
Part I Crime (Index Crime),"6,461","1,411",139,6,2016
1. Criminal Homicide,8,2,,7,2016
a. Murder and Nonnegligent Homicide,8,2,,7,2016
b. Manslaughter by Negligence,,,,7,2016
2. Forcible Rape Total,73,18,1,7,2016
a. Rape by Force,67,17,1,7,2016
b. Attempts to commit Forcible Rape,6,1,,7,2016
3. Robbery Total,234,63,2,7,2016
a. Firearm,85,19,,7,2016
b. Knife or Cutting Instrument,19,5,,7,2016
c. Other Dangerous Weapon,12,2,,7,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",118,37,2,7,2016
4. Assault Total,"2,743","1,999",98,7,2016
a. Firearm,98,27,,7,2016
b. Knife or Cutting Instrument,102,62,1,7,2016
c. Other Dangerous Weapon,172,109,5,7,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",107,86,6,7,2016
Aggravated Assault Total,479,284,12,7,2016
"4e. Other Assaults - Simple, Not Aggravated","2,264","1,715",86,7,2016
5. Burglary Total,879,156,14,7,2016
a. Forcible Entry,488,100,8,7,2016
b. Unlawful Entry - No Force,302,51,6,7,2016
c. Attempted Forcible Entry,89,5,,7,2016
6. Larceny - Theft Total,"4,177",834,68,7,2016
7. Motor Vehicle Theft Total,751,72,21,7,2016
a. Autos,624,62,20,7,2016
b. Trucks and Buses,25,2,,7,2016
c. Other Vehicles,102,8,1,7,2016
8. Arson,35,15,4,7,2016
9. Human Trafficking - Commercial Sex Act,1,1,,7,2016
10. Human Trafficking - Involuntary Servitude,,,,7,2016
Grand Total,"8,901","3,160",208,7,2016
Index Violent Crime,794,367,15,7,2016
Index Property Crime,"5,842","1,077",107,7,2016
Part I Crime (Index Crime),"6,636","1,444",122,7,2016
1. Criminal Homicide,11,3,,8,2016
a. Murder and Nonnegligent Homicide,9,3,,8,2016
b. Manslaughter by Negligence,2,,,8,2016
2. Forcible Rape Total,77,16,4,8,2016
a. Rape by Force,75,16,4,8,2016
b. Attempts to commit Forcible Rape,2,,,8,2016
3. Robbery Total,252,66,6,8,2016
a. Firearm,85,17,2,8,2016
b. Knife or Cutting Instrument,24,8,,8,2016
c. Other Dangerous Weapon,29,7,,8,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",114,34,4,8,2016
4. Assault Total,"2,783","1,885",122,8,2016
a. Firearm,107,17,,8,2016
b. Knife or Cutting Instrument,80,61,6,8,2016
c. Other Dangerous Weapon,194,131,6,8,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",97,67,,8,2016
Aggravated Assault Total,478,276,12,8,2016
"4e. Other Assaults - Simple, Not Aggravated","2,305","1,609",110,8,2016
5. Burglary Total,"1,001",157,17,8,2016
a. Forcible Entry,513,89,6,8,2016
b. Unlawful Entry - No Force,397,58,9,8,2016
c. Attempted Forcible Entry,91,10,2,8,2016
6. Larceny - Theft Total,"4,531",843,90,8,2016
7. Motor Vehicle Theft Total,768,79,23,8,2016
a. Autos,593,68,21,8,2016
b. Trucks and Buses,27,2,2,8,2016
c. Other Vehicles,148,9,,8,2016
8. Arson,33,7,1,8,2016
9. Human Trafficking - Commercial Sex Act,1,,,8,2016
10. Human Trafficking - Involuntary Servitude,1,,,8,2016
Grand Total,"9,457","3,056",263,8,2016
Index Violent Crime,816,361,22,8,2016
Index Property Crime,"6,333","1,086",131,8,2016
Part I Crime (Index Crime),"7,149","1,447",153,8,2016
1. Criminal Homicide,9,3,,9,2016
a. Murder and Nonnegligent Homicide,7,2,,9,2016
b. Manslaughter by Negligence,2,1,,9,2016
2. Forcible Rape Total,74,30,4,9,2016
a. Rape by Force,70,29,4,9,2016
b. Attempts to commit Forcible Rape,4,1,,9,2016
3. Robbery Total,229,65,12,9,2016
a. Firearm,78,17,2,9,2016
b. Knife or Cutting Instrument,23,9,1,9,2016
c. Other Dangerous Weapon,17,8,1,9,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",111,31,8,9,2016
4. Assault Total,"2,591","1,825",188,9,2016
a. Firearm,49,16,,9,2016
b. Knife or Cutting Instrument,79,54,,9,2016
c. Other Dangerous Weapon,158,115,10,9,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",86,58,6,9,2016
Aggravated Assault Total,372,243,16,9,2016
"4e. Other Assaults - Simple, Not Aggravated","2,219","1,582",172,9,2016
5. Burglary Total,945,142,13,9,2016
a. Forcible Entry,538,85,9,9,2016
b. Unlawful Entry - No Force,318,50,3,9,2016
c. Attempted Forcible Entry,89,7,1,9,2016
6. Larceny - Theft Total,"4,293",857,68,9,2016
7. Motor Vehicle Theft Total,607,82,26,9,2016
a. Autos,507,69,22,9,2016
b. Trucks and Buses,21,1,1,9,2016
c. Other Vehicles,79,12,3,9,2016
8. Arson,46,16,6,9,2016
9. Human Trafficking - Commercial Sex Act,,,,9,2016
10. Human Trafficking - Involuntary Servitude,,,,9,2016
Grand Total,"8,794","3,020",317,9,2016
Index Violent Crime,682,340,32,9,2016
Index Property Crime,"5,891","1,097",113,9,2016
Part I Crime (Index Crime),"6,573","1,437",145,9,2016
1. Criminal Homicide,4,4,,10,2016
a. Murder and Nonnegligent Homicide,2,2,,10,2016
b. Manslaughter by Negligence,2,2,,10,2016
2. Forcible Rape Total,57,25,3,10,2016
a. Rape by Force,57,25,3,10,2016
b. Attempts to commit Forcible Rape,,,,10,2016
3. Robbery Total,241,75,10,10,2016
a. Firearm,75,24,2,10,2016
b. Knife or Cutting Instrument,39,5,1,10,2016
c. Other Dangerous Weapon,14,8,1,10,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",113,38,6,10,2016
4. Assault Total,"2,636","1,839",179,10,2016
a. Firearm,50,17,2,10,2016
b. Knife or Cutting Instrument,90,50,2,10,2016
c. Other Dangerous Weapon,128,73,6,10,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",126,100,17,10,2016
Aggravated Assault Total,394,240,27,10,2016
"4e. Other Assaults - Simple, Not Aggravated","2,242","1,599",152,10,2016
5. Burglary Total,914,155,5,10,2016
a. Forcible Entry,506,79,2,10,2016
b. Unlawful Entry - No Force,315,55,2,10,2016
c. Attempted Forcible Entry,93,21,1,10,2016
6. Larceny - Theft Total,"4,477",880,70,10,2016
7. Motor Vehicle Theft Total,625,97,21,10,2016
a. Autos,561,76,17,10,2016
b. Trucks and Buses,21,8,,10,2016
c. Other Vehicles,43,13,4,10,2016
8. Arson,35,13,5,10,2016
9. Human Trafficking - Commercial Sex Act,,,,10,2016
10. Human Trafficking - Involuntary Servitude,,,,10,2016
Grand Total,"8,989","3,088",293,10,2016
Index Violent Crime,694,342,40,10,2016
Index Property Crime,"6,051","1,145",101,10,2016
Part I Crime (Index Crime),"6,745","1,487",141,10,2016
1. Criminal Homicide,12,3,,11,2016
a. Murder and Nonnegligent Homicide,11,2,,11,2016
b. Manslaughter by Negligence,1,1,,11,2016
2. Forcible Rape Total,59,22,6,11,2016
a. Rape by Force,57,22,6,11,2016
b. Attempts to commit Forcible Rape,2,,,11,2016
3. Robbery Total,236,64,10,11,2016
a. Firearm,84,26,4,11,2016
b. Knife or Cutting Instrument,23,7,,11,2016
c. Other Dangerous Weapon,20,6,1,11,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",109,25,5,11,2016
4. Assault Total,"2,346","1,633",158,11,2016
a. Firearm,82,30,1,11,2016
b. Knife or Cutting Instrument,82,48,3,11,2016
c. Other Dangerous Weapon,117,88,6,11,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",76,64,4,11,2016
Aggravated Assault Total,357,230,14,11,2016
"4e. Other Assaults - Simple, Not Aggravated","1,989","1,403",144,11,2016
5. Burglary Total,960,126,11,11,2016
a. Forcible Entry,529,66,7,11,2016
b. Unlawful Entry - No Force,301,50,4,11,2016
c. Attempted Forcible Entry,130,10,,11,2016
6. Larceny - Theft Total,"4,060",832,60,11,2016
7. Motor Vehicle Theft Total,652,100,28,11,2016
a. Autos,601,92,26,11,2016
b. Trucks and Buses,18,2,,11,2016
c. Other Vehicles,33,6,2,11,2016
8. Arson,38,18,4,11,2016
9. Human Trafficking - Commercial Sex Act,2,2,,11,2016
10. Human Trafficking - Involuntary Servitude,,,,11,2016
Grand Total,"8,365","2,800",277,11,2016
Index Violent Crime,663,318,30,11,2016
Index Property Crime,"5,710","1,076",103,11,2016
Part I Crime (Index Crime),"6,373","1,394",133,11,2016
1. Criminal Homicide,12,7,,12,2016
a. Murder and Nonnegligent Homicide,10,6,,12,2016
b. Manslaughter by Negligence,2,1,,12,2016
2. Forcible Rape Total,61,21,4,12,2016
a. Rape by Force,55,19,4,12,2016
b. Attempts to commit Forcible Rape,6,2,,12,2016
3. Robbery Total,266,72,7,12,2016
a. Firearm,94,20,2,12,2016
b. Knife or Cutting Instrument,33,10,1,12,2016
c. Other Dangerous Weapon,22,4,1,12,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",117,38,3,12,2016
4. Assault Total,"2,334","1,722",171,12,2016
a. Firearm,50,18,2,12,2016
b. Knife or Cutting Instrument,75,60,2,12,2016
c. Other Dangerous Weapon,111,73,7,12,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",83,58,4,12,2016
Aggravated Assault Total,319,209,15,12,2016
"4e. Other Assaults - Simple, Not Aggravated","2,015","1,513",156,12,2016
5. Burglary Total,841,149,16,12,2016
a. Forcible Entry,503,92,7,12,2016
b. Unlawful Entry - No Force,242,43,4,12,2016
c. Attempted Forcible Entry,96,14,5,12,2016
6. Larceny - Theft Total,"3,932",883,70,12,2016
7. Motor Vehicle Theft Total,641,85,24,12,2016
a. Autos,595,75,24,12,2016
b. Trucks and Buses,18,2,,12,2016
c. Other Vehicles,28,8,,12,2016
8. Arson,24,13,1,12,2016
9. Human Trafficking - Commercial Sex Act,,,,12,2016
10. Human Trafficking - Involuntary Servitude,,,,12,2016
Grand Total,"8,111","2,952",293,12,2016
Index Violent Crime,656,308,26,12,2016
Index Property Crime,"5,438","1,130",111,12,2016
Part I Crime (Index Crime),"6,094","1,438",137,12,2016
1. Criminal Homicide,11,8,1,1,2017
a. Murder and Nonnegligent Homicide,10,7,1,1,2017
b. Manslaughter by Negligence,1,1,,1,2017
2. Forcible Rape Total,63,15,2,1,2017
a. Rape by Force,59,13,2,1,2017
b. Attempts to commit Forcible Rape,4,2,,1,2017
3. Robbery Total,270,76,8,1,2017
a. Firearm,113,18,1,1,2017
b. Knife or Cutting Instrument,29,7,1,1,2017
c. Other Dangerous Weapon,19,7,2,1,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",109,44,4,1,2017
4. Assault Total,"2,337","1,752",183,1,2017
a. Firearm,57,25,7,1,2017
b. Knife or Cutting Instrument,77,50,4,1,2017
c. Other Dangerous Weapon,98,81,9,1,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",121,103,13,1,2017
Aggravated Assault Total,353,259,33,1,2017
"4e. Other Assaults - Simple, Not Aggravated","1,984","1,493",150,1,2017
5. Burglary Total,729,173,6,1,2017
a. Forcible Entry,401,97,3,1,2017
b. Unlawful Entry - No Force,249,61,2,1,2017
c. Attempted Forcible Entry,79,15,1,1,2017
6. Larceny - Theft Total,"3,505",886,70,1,2017
7. Motor Vehicle Theft Total,584,89,33,1,2017
a. Autos,537,82,32,1,2017
b. Trucks and Buses,20,2,,1,2017
c. Other Vehicles,27,5,1,1,2017
8. Arson,27,13,3,1,2017
9. Human Trafficking - Commercial Sex Act,1,,,1,2017
10. Human Trafficking - Involuntary Servitude,,,,1,2017
Grand Total,"7,527","3,012",306,1,2017
Index Violent Crime,696,357,44,1,2017
Index Property Crime,"4,845","1,161",112,1,2017
Part I Crime (Index Crime),"5,541","1,518",156,1,2017
1. Criminal Homicide,8,5,,2,2017
a. Murder and Nonnegligent Homicide,8,3,,2,2017
b. Manslaughter by Negligence,,2,,2,2017
2. Forcible Rape Total,52,22,7,2,2017
a. Rape by Force,48,21,6,2,2017
b. Attempts to commit Forcible Rape,4,1,1,2,2017
3. Robbery Total,157,79,6,2,2017
a. Firearm,47,24,3,2,2017
b. Knife or Cutting Instrument,21,9,1,2,2017
c. Other Dangerous Weapon,16,12,1,2,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",73,34,1,2,2017
4. Assault Total,"2,040","1,486",159,2,2017
a. Firearm,44,24,1,2,2017
b. Knife or Cutting Instrument,70,37,3,2,2017
c. Other Dangerous Weapon,106,74,1,2,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",92,80,8,2,2017
Aggravated Assault Total,312,215,13,2,2017
"4e. Other Assaults - Simple, Not Aggravated","1,728","1,271",146,2,2017
5. Burglary Total,549,136,13,2,2017
a. Forcible Entry,315,81,7,2,2017
b. Unlawful Entry - No Force,180,45,3,2,2017
c. Attempted Forcible Entry,54,10,3,2,2017
6. Larceny - Theft Total,"3,150",824,62,2,2017
7. Motor Vehicle Theft Total,482,63,15,2,2017
a. Autos,448,60,15,2,2017
b. Trucks and Buses,14,3,,2,2017
c. Other Vehicles,20,,,2,2017
8. Arson,19,9,2,2,2017
9. Human Trafficking - Commercial Sex Act,,,,2,2017
10. Human Trafficking - Involuntary Servitude,,,,2,2017
Grand Total,"6,457","2,624",264,2,2017
Index Violent Crime,529,319,26,2,2017
Index Property Crime,"4,200","1,032",92,2,2017
Part I Crime (Index Crime),"4,729","1,351",118,2,2017
1. Criminal Homicide,5,6,,3,2017
a. Murder and Nonnegligent Homicide,4,6,,3,2017
b. Manslaughter by Negligence,1,,,3,2017
2. Forcible Rape Total,44,16,2,3,2017
a. Rape by Force,41,15,1,3,2017
b. Attempts to commit Forcible Rape,3,1,1,3,2017
3. Robbery Total,182,71,5,3,2017
a. Firearm,53,20,,3,2017
b. Knife or Cutting Instrument,25,7,,3,2017
c. Other Dangerous Weapon,16,7,,3,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",88,37,5,3,2017
4. Assault Total,"2,385","1,784",228,3,2017
a. Firearm,47,22,2,3,2017
b. Knife or Cutting Instrument,69,59,4,3,2017
c. Other Dangerous Weapon,105,86,9,3,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",80,67,6,3,2017
Aggravated Assault Total,301,234,21,3,2017
"4e. Other Assaults - Simple, Not Aggravated","2,084","1,550",207,3,2017
5. Burglary Total,591,145,10,3,2017
a. Forcible Entry,344,83,4,3,2017
b. Unlawful Entry - No Force,187,49,5,3,2017
c. Attempted Forcible Entry,60,13,1,3,2017
6. Larceny - Theft Total,"3,408",782,56,3,2017
7. Motor Vehicle Theft Total,513,82,21,3,2017
a. Autos,485,77,20,3,2017
b. Trucks and Buses,16,1,,3,2017
c. Other Vehicles,12,4,1,3,2017
8. Arson,39,10,3,3,2017
9. Human Trafficking - Commercial Sex Act,1,1,,3,2017
10. Human Trafficking - Involuntary Servitude,,,,3,2017
Grand Total,"7,168","2,897",325,3,2017
Index Violent Crime,531,327,28,3,2017
Index Property Crime,"4,551","1,019",90,3,2017
Part I Crime (Index Crime),"5,082","1,346",118,3,2017
1. Criminal Homicide,10,9,,4,2017
a. Murder and Nonnegligent Homicide,9,9,,4,2017
b. Manslaughter by Negligence,1,,,4,2017
2. Forcible Rape Total,66,19,3,4,2017
a. Rape by Force,65,19,3,4,2017
b. Attempts to commit Forcible Rape,1,,,4,2017
3. Robbery Total,216,72,15,4,2017
a. Firearm,74,16,3,4,2017
b. Knife or Cutting Instrument,25,12,3,4,2017
c. Other Dangerous Weapon,24,10,1,4,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",93,34,8,4,2017
4. Assault Total,"2,567","1,789",160,4,2017
a. Firearm,59,16,,4,2017
b. Knife or Cutting Instrument,99,63,5,4,2017
c. Other Dangerous Weapon,140,96,8,4,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",103,72,7,4,2017
Aggravated Assault Total,401,247,20,4,2017
"4e. Other Assaults - Simple, Not Aggravated","2,166","1,542",140,4,2017
5. Burglary Total,610,122,11,4,2017
a. Forcible Entry,310,64,2,4,2017
b. Unlawful Entry - No Force,242,54,8,4,2017
c. Attempted Forcible Entry,58,4,1,4,2017
6. Larceny - Theft Total,"3,721",766,51,4,2017
7. Motor Vehicle Theft Total,539,65,17,4,2017
a. Autos,467,61,17,4,2017
b. Trucks and Buses,19,3,,4,2017
c. Other Vehicles,53,1,,4,2017
8. Arson,33,18,2,4,2017
9. Human Trafficking - Commercial Sex Act,1,,,4,2017
10. Human Trafficking - Involuntary Servitude,,,,4,2017
Grand Total,"7,763","2,860",259,4,2017
Index Violent Crime,692,347,38,4,2017
Index Property Crime,"4,903",971,81,4,2017
Part I Crime (Index Crime),"5,595","1,318",119,4,2017
1. Criminal Homicide,9,11,,5,2017
a. Murder and Nonnegligent Homicide,7,8,,5,2017
b. Manslaughter by Negligence,2,3,,5,2017
2. Forcible Rape Total,89,24,2,5,2017
a. Rape by Force,86,21,1,5,2017
b. Attempts to commit Forcible Rape,3,3,1,5,2017
3. Robbery Total,210,54,10,5,2017
a. Firearm,65,10,1,5,2017
b. Knife or Cutting Instrument,13,1,,5,2017
c. Other Dangerous Weapon,20,6,1,5,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",112,37,8,5,2017
4. Assault Total,"2,832","2,026",194,5,2017
a. Firearm,56,20,,5,2017
b. Knife or Cutting Instrument,93,54,2,5,2017
c. Other Dangerous Weapon,124,77,4,5,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",102,84,4,5,2017
Aggravated Assault Total,375,235,10,5,2017
"4e. Other Assaults - Simple, Not Aggravated","2,457","1,791",184,5,2017
5. Burglary Total,758,133,8,5,2017
a. Forcible Entry,450,77,2,5,2017
b. Unlawful Entry - No Force,237,46,4,5,2017
c. Attempted Forcible Entry,71,10,2,5,2017
6. Larceny - Theft Total,"3,984",830,59,5,2017
7. Motor Vehicle Theft Total,582,69,18,5,2017
a. Autos,517,59,15,5,2017
b. Trucks and Buses,14,2,1,5,2017
c. Other Vehicles,51,8,2,5,2017
8. Arson,21,4,1,5,2017
9. Human Trafficking - Commercial Sex Act,,,,5,2017
10. Human Trafficking - Involuntary Servitude,,,,5,2017
Grand Total,"8,485","3,151",292,5,2017
Index Violent Crime,681,321,22,5,2017
Index Property Crime,"5,345","1,036",86,5,2017
Part I Crime (Index Crime),"6,026","1,357",108,5,2017
1. Criminal Homicide,7,3,,6,2017
a. Murder and Nonnegligent Homicide,6,2,,6,2017
b. Manslaughter by Negligence,1,1,,6,2017
2. Forcible Rape Total,81,23,1,6,2017
a. Rape by Force,79,23,1,6,2017
b. Attempts to commit Forcible Rape,2,,,6,2017
3. Robbery Total,208,62,10,6,2017
a. Firearm,53,16,1,6,2017
b. Knife or Cutting Instrument,18,6,,6,2017
c. Other Dangerous Weapon,20,10,2,6,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",117,30,7,6,2017
4. Assault Total,"2,786","1,999",116,6,2017
a. Firearm,63,28,2,6,2017
b. Knife or Cutting Instrument,84,53,1,6,2017
c. Other Dangerous Weapon,148,98,2,6,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",98,80,3,6,2017
Aggravated Assault Total,393,259,8,6,2017
"4e. Other Assaults - Simple, Not Aggravated","2,393","1,740",108,6,2017
5. Burglary Total,747,112,15,6,2017
a. Forcible Entry,420,61,3,6,2017
b. Unlawful Entry - No Force,252,46,12,6,2017
c. Attempted Forcible Entry,75,5,,6,2017
6. Larceny - Theft Total,"4,319",799,48,6,2017
7. Motor Vehicle Theft Total,634,65,24,6,2017
a. Autos,547,62,24,6,2017
b. Trucks and Buses,17,1,,6,2017
c. Other Vehicles,70,2,,6,2017
8. Arson,36,4,4,6,2017
9. Human Trafficking - Commercial Sex Act,,,,6,2017
10. Human Trafficking - Involuntary Servitude,,,,6,2017
Grand Total,"8,818","3,067",218,6,2017
Index Violent Crime,688,346,19,6,2017
Index Property Crime,"5,736",980,91,6,2017
Part I Crime (Index Crime),"6,424","1,326",110,6,2017
1. Criminal Homicide,13,4,,7,2017
a. Murder and Nonnegligent Homicide,12,3,,7,2017
b. Manslaughter by Negligence,1,1,,7,2017
2. Forcible Rape Total,79,30,1,7,2017
a. Rape by Force,78,30,1,7,2017
b. Attempts to commit Forcible Rape,1,,,7,2017
3. Robbery Total,220,63,12,7,2017
a. Firearm,51,9,2,7,2017
b. Knife or Cutting Instrument,24,7,,7,2017
c. Other Dangerous Weapon,15,5,,7,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",130,42,10,7,2017
4. Assault Total,"2,978","2,107",112,7,2017
a. Firearm,87,28,,7,2017
b. Knife or Cutting Instrument,100,77,4,7,2017
c. Other Dangerous Weapon,160,111,4,7,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",112,80,1,7,2017
Aggravated Assault Total,459,296,9,7,2017
"4e. Other Assaults - Simple, Not Aggravated","2,519","1,811",103,7,2017
5. Burglary Total,903,140,12,7,2017
a. Forcible Entry,465,84,6,7,2017
b. Unlawful Entry - No Force,334,46,6,7,2017
c. Attempted Forcible Entry,104,10,,7,2017
6. Larceny - Theft Total,"4,575",805,55,7,2017
7. Motor Vehicle Theft Total,760,86,29,7,2017
a. Autos,614,79,27,7,2017
b. Trucks and Buses,23,2,,7,2017
c. Other Vehicles,123,5,2,7,2017
8. Arson,49,8,2,7,2017
9. Human Trafficking - Commercial Sex Act,2,1,,7,2017
10. Human Trafficking - Involuntary Servitude,,,,7,2017
Grand Total,"9,579","3,244",223,7,2017
Index Violent Crime,770,392,22,7,2017
Index Property Crime,"6,287","1,039",98,7,2017
Part I Crime (Index Crime),"7,057","1,431",120,7,2017
1. Criminal Homicide,12,11,1,8,2017
a. Murder and Nonnegligent Homicide,12,11,1,8,2017
b. Manslaughter by Negligence,,,,8,2017
2. Forcible Rape Total,88,20,1,8,2017
a. Rape by Force,81,15,1,8,2017
b. Attempts to commit Forcible Rape,7,5,,8,2017
3. Robbery Total,235,78,7,8,2017
a. Firearm,51,12,,8,2017
b. Knife or Cutting Instrument,29,11,1,8,2017
c. Other Dangerous Weapon,26,9,1,8,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",129,46,5,8,2017
4. Assault Total,"2,839","2,061",116,8,2017
a. Firearm,61,14,,8,2017
b. Knife or Cutting Instrument,101,63,3,8,2017
c. Other Dangerous Weapon,160,102,7,8,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",98,87,5,8,2017
Aggravated Assault Total,420,266,15,8,2017
"4e. Other Assaults - Simple, Not Aggravated","2,419","1,795",101,8,2017
5. Burglary Total,898,162,16,8,2017
a. Forcible Entry,491,91,9,8,2017
b. Unlawful Entry - No Force,303,56,7,8,2017
c. Attempted Forcible Entry,104,15,,8,2017
6. Larceny - Theft Total,"4,556",915,80,8,2017
7. Motor Vehicle Theft Total,751,82,23,8,2017
a. Autos,645,74,22,8,2017
b. Trucks and Buses,13,2,,8,2017
c. Other Vehicles,93,6,1,8,2017
8. Arson,17,4,,8,2017
9. Human Trafficking - Commercial Sex Act,,,,8,2017
10. Human Trafficking - Involuntary Servitude,1,1,,8,2017
Grand Total,"9,397","3,334",244,8,2017
Index Violent Crime,755,375,24,8,2017
Index Property Crime,"6,222","1,163",119,8,2017
Part I Crime (Index Crime),"6,977","1,538",143,8,2017
1. Criminal Homicide,8,5,1,9,2017
a. Murder and Nonnegligent Homicide,8,4,1,9,2017
b. Manslaughter by Negligence,,1,,9,2017
2. Forcible Rape Total,81,28,,9,2017
a. Rape by Force,77,27,,9,2017
b. Attempts to commit Forcible Rape,4,1,,9,2017
3. Robbery Total,266,74,9,9,2017
a. Firearm,85,16,2,9,2017
b. Knife or Cutting Instrument,25,11,,9,2017
c. Other Dangerous Weapon,30,8,,9,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",126,39,7,9,2017
4. Assault Total,"2,725","1,807",157,9,2017
a. Firearm,68,26,2,9,2017
b. Knife or Cutting Instrument,73,40,3,9,2017
c. Other Dangerous Weapon,137,73,5,9,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",87,56,8,9,2017
Aggravated Assault Total,365,195,18,9,2017
"4e. Other Assaults - Simple, Not Aggravated","2,360","1,612",139,9,2017
5. Burglary Total,835,162,14,9,2017
a. Forcible Entry,490,97,10,9,2017
b. Unlawful Entry - No Force,256,49,4,9,2017
c. Attempted Forcible Entry,89,16,,9,2017
6. Larceny - Theft Total,"4,168",798,59,9,2017
7. Motor Vehicle Theft Total,622,83,20,9,2017
a. Autos,539,62,14,9,2017
b. Trucks and Buses,19,3,,9,2017
c. Other Vehicles,64,18,6,9,2017
8. Arson,30,9,2,9,2017
9. Human Trafficking - Commercial Sex Act,1,,,9,2017
10. Human Trafficking - Involuntary Servitude,,,,9,2017
Grand Total,"8,736","2,966",262,9,2017
Index Violent Crime,720,301,28,9,2017
Index Property Crime,"5,655","1,052",95,9,2017
Part I Crime (Index Crime),"6,375","1,353",123,9,2017
1. Criminal Homicide,13,8,,10,2017
a. Murder and Nonnegligent Homicide,12,7,,10,2017
b. Manslaughter by Negligence,1,1,,10,2017
2. Forcible Rape Total,83,18,,10,2017
a. Rape by Force,81,17,,10,2017
b. Attempts to commit Forcible Rape,2,1,,10,2017
3. Robbery Total,317,70,9,10,2017
a. Firearm,132,18,4,10,2017
b. Knife or Cutting Instrument,37,7,1,10,2017
c. Other Dangerous Weapon,31,8,,10,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",117,37,4,10,2017
4. Assault Total,"2,734","1,902",194,10,2017
a. Firearm,65,29,1,10,2017
b. Knife or Cutting Instrument,87,54,,10,2017
c. Other Dangerous Weapon,161,91,2,10,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",79,56,3,10,2017
