Date Occurred ,Crime Description
4/08/2019 ,SPEEDING (RADAR)                   
4/15/2019 ,THEFT $500 AND UNDER               
4/15/2019 ,DISOBEY TRAFFIC SIGNAL/RR CROSSING 
4/17/2019 ,WARRANT-IN STATE                   
4/17/2019 ,USE OF FORCE BY OFFICER            
4/17/2019 ,RESIST/OBS CORRECT/POLICE/FIRE     
4/17/2019 ,OTHER CRIMINAL OFFENSES            
4/17/2019 ,OTHER CRIMINAL OFFENSES            
4/17/2019 ,OTHER CRIMINAL OFFENSES            
4/17/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
4/08/2019 ,SPEEDING (RADAR)                   
4/08/2019 ,SPEEDING (RADAR)                   
4/17/2019 ,SEARCH WARRANT SERVICE             
4/04/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
4/04/2019 ,EXPIRED REGISTRATION               
4/09/2019 ,NO REAR REGISTRATION LIGHT         
4/10/2019 ,IMPROPER USE OF SIGNAL             
4/06/2019 ,IMPROPER LANE USAGE-ONE-WAY ST     
4/12/2019 ,SPEEDING (RADAR)                   
4/18/2019 ,BATTERY                            
4/18/2019 ,WARRANT-IN STATE                   
4/15/2019 ,WARRANT-IN STATE                   
4/16/2019 ,IMPROPER USE OF REGISTRATION       
5/10/2019 ,FAILURE TO YIELD PRIVATE ROAD      
5/10/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/13/2019 ,DISORDERLY CONDUCT-ALL OTHER       
5/13/2019 ,CRIMINAL DAMAGE TO PROPERTY        
5/09/2019 ,WARRANT-IN STATE                   
2/09/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/10/2019 ,THEFT $500 AND UNDER               
2/10/2019 ,ACCIDENT INVOLVING INJURY          
2/10/2019 ,CRISIS INTERVEN. - ALCOHOL         
2/10/2019 ,DRIVING UNDER THE INFL-ALCOHOL     
2/10/2019 ,BREATH ALCOHOL OVER LIMIT          
2/10/2019 ,IMPOUNDED VEHICLE                  
2/10/2019 ,FAILURE TO REDUCE SPEED            
2/09/2019 ,VOID FILE NUMBER                   
1/01/2019 ,FRAUD-CREDIT CARD                  
1/01/2019 ,THEFT $500 AND UNDER               
1/01/2019 ,FORGERY                            
2/10/2019 ,CRIMINAL DAMAGE TO PROPERTY        
2/10/2019 ,BATTERY-DOMESTIC                   
2/11/2019 ,LOST DRIVERS LICENSE/PLATE         
2/07/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
2/09/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
2/05/2019 ,SPEEDING (RADAR)                   
2/11/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/11/2019 ,FAILURE TO YIELD TURNING LEFT      
2/05/2019 ,SPEEDING (RADAR)                   
2/11/2019 ,NO TAILLIGHTS                      
2/10/2019 ,NO TAILLIGHTS                      
2/10/2019 ,OTHER EQUIPMENT VIOLATIONS         
2/08/2019 ,TRAFFIC SIGNAL VIOLATION           
2/12/2019 ,THEFT $500 AND UNDER               
2/11/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/11/2019 ,FAILURE TO YIELD PRIVATE ROAD      
2/10/2019 ,DOGS RUNNING AT LARGE              
11/02/2019,BATTERY                            
11/01/2019,BURGLARY FROM MOTOR VEHICLE        
10/24/2019,THEFT $500 AND UNDER               
10/29/2019,FIELD INTERVIEW                    
10/30/2019,FIELD INTERVIEW                    
10/30/2019,FIELD INTERVIEW                    
10/30/2019,FIELD INTERVIEW                    
10/25/2019,FIELD INTERVIEW                    
10/21/2019,FIELD INTERVIEW                    
11/05/2019,DRIVING WITHOUT LIGHTS             
11/05/2019,IMPOUNDED VEHICLE                  
11/05/2019,OPERATE UNINSURED MOTOR VEHICLE    
11/04/2019,FOUND ARTICLES                     
11/01/2019,ACCIDENT INVOLVING NON-INJURY      
11/01/2019,TRAFFIC SIGNAL VIOLATION           
10/31/2019,ACCIDENT INVOLVING INJURY          
10/31/2019,TRAFFIC SIGNAL VIOLATION           
10/31/2019,DRIVING UNDER SUSPENDED LICENSE    
10/31/2019,ACCIDENT INVOLVING INJURY          
10/31/2019,ACCIDENT HIT AND RUN               
11/02/2019,ACCIDENT INVOLVING NON-INJURY      
11/02/2019,ACCIDENT HIT AND RUN               
11/02/2019,ACCIDENT ON PRIVATE PROPERTY       
10/30/2019,ACCIDENT HIT AND RUN               
10/30/2019,ACCIDENT INVOLVING NON-INJURY      
10/29/2019,TRAFFIC SIGN VIOLATION             
10/27/2019,NO TAILLIGHTS                      
10/27/2019,NO REGISTRATION                    
10/28/2019,OTHER EQUIPMENT VIOLATIONS         
10/14/2019,TERRY STOPS                        
10/14/2019,OPERATE UNINSURED MOTOR VEHICLE    
11/06/2019,THEFT-IDENTITY                     
11/06/2019,FIELD INTERVIEW                    
11/09/2019,FOUND ARTICLES                     
11/04/2019,SPEEDING (RADAR)                   
11/04/2019,SPEEDING (RADAR)                   
11/05/2019,SPEEDING (RADAR)                   
11/02/2019,ANIMAL COMPLAINTS-OTHER            
11/05/2019,THEFT OVER $500                    
11/08/2019,THEFT $500 AND UNDER               
11/08/2019,DISORDERLY CONDUCT-ALL OTHER       
11/09/2019,RESIST/OBS CORRECT/POLICE/FIRE     
11/09/2019,CRIMINAL DAMAGE TO PROPERTY        
11/09/2019,USE OF FORCE BY OFFICER            
11/09/2019,TRESPASS TO LAND/REAL PROPERTY     
11/09/2019,TRESPASSING                        
3/02/2019 ,UNLAWFUL USE OF I.D.               
11/10/2019,BATTERY                            
11/10/2019,BATTERY                            
11/10/2019,BATTERY-DOMESTIC                   
11/10/2019,BATTERY-DOMESTIC                   
1/01/2019 ,BATTERY-AGG DOMESTIC               
1/01/2019 ,BATTERY-AGG DOMESTIC               
1/01/2019 ,AGG DISCHARGE OF FIREARM           
1/02/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
1/02/2019 ,IMPOUNDED VEHICLE                  
1/02/2019 ,NO VALID DL DRIVERS LICENSE        
1/02/2019 ,FAILURE TO SIGNAL                  
2/10/2019 ,ACCIDENT INVOLVING INJURY          
2/10/2019 ,ACCIDENT INVOLVING OTHER CITY PROP 
2/10/2019 ,ACCIDENT W/NON-VEH PROP DAMAGE     
2/11/2019 ,SPEEDING (RADAR)                   
2/11/2019 ,SPEEDING (RADAR)                   
2/11/2019 ,SPEEDING (RADAR)                   
2/13/2019 ,CRIMINAL DAMAGE TO PROPERTY        
2/13/2019 ,FIGHTING                           
2/06/2019 ,LOST DRIVERS LICENSE/PLATE         
2/14/2019 ,BATTERY-AGGRAVATED                 
2/14/2019 ,WARRANT-IN STATE                   
2/14/2019 ,BATTERY-DOMESTIC                   
2/14/2019 ,CRISIS INTERVEN. - SUICIDE IDEATION
2/10/2019 ,PEDESTRIAN STOPS                   
2/16/2019 ,DRIVING UNDER THE INFL-ALCOHOL     
2/16/2019 ,BREATH ALCOHOL OVER LIMIT          
2/16/2019 ,IMPOUNDED VEHICLE                  
2/14/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/15/2019 ,CRIMINAL DAMAGE TO PROPERTY        
2/15/2019 ,THEFT-RETAIL                       
2/10/2019 ,TRAFFIC SIGN VIOLATION             
2/16/2019 ,RETAIL THEFT                       
2/16/2019 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
3/03/2019 ,ACCIDENT INVOLVING NON-INJURY      
3/02/2019 ,SEX OFFENDER-ADDRESS VERIFICATION  
3/09/2019 ,TRESPASS-VEHICLE                   
3/08/2019 ,JUVENILE OTHER                     
2/27/2019 ,SWAT DEPLOYMENT                    
3/08/2019 ,SEXUAL-ASSAULT-CRIMINAL            
3/05/2019 ,SPEEDING (RADAR)                   
3/11/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
3/02/2019 ,CRIMINAL DAMAGE TO PROPERTY        
3/02/2019 ,DRIVING UNDER REVOKED LICENSE      
3/02/2019 ,AGG FLEE/ATTEMPT ELUDE OFFICER     
3/06/2019 ,SEARCH WARRANT SERVICE             
3/06/2019 ,UNLAWFUL USE OF WEAPONS            
3/06/2019 ,CANNABIS POSS OVER 10 - 100 G -MISD
3/06/2019 ,CONTROLLED SUBSTANCE-POSS W/INTENT 
3/08/2019 ,FAILURE TO YIELD AT INTERSECTION   
3/12/2019 ,FOUND ARTICLES                     
3/05/2019 ,SPEEDING (RADAR)                   
3/08/2019 ,TRAFFIC SIGN VIOLATION             
3/10/2019 ,SPEEDING (RADAR)                   
3/10/2019 ,SPEEDING (RADAR)                   
3/10/2019 ,EXPIRED REGISTRATION               
3/08/2019 ,IMPROPER U-TURN                    
3/12/2019 ,BATTERY-DOMESTIC                   
3/12/2019 ,CRISIS INTERVEN. - PARENT/JUVENILE 
3/12/2019 ,IMPROPER LANE USAGE                
3/12/2019 ,ACCIDENT INVOLVING NON-INJURY      
3/11/2019 ,ACCIDENT INVOLVING INJURY          
3/11/2019 ,FAILURE TO REDUCE SPEED            
3/06/2019 ,ACCIDENT INVOLVING INJURY          
3/06/2019 ,FAILURE TO REDUCE SPEED            
3/11/2019 ,SPEEDING (RADAR)                   
3/11/2019 ,EXPIRED REGISTRATION               
3/11/2019 ,IMPROPER LIGHTING/ONE HEADLIGHT    
4/08/2019 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
5/13/2019 ,FIELD INTERVIEW                    
5/16/2019 ,IMPROPER TURN AT INTERSECTION      
5/16/2019 ,POSS OF DRUG PARAPHENALIA          
5/16/2019 ,TRANSPORTING ALCOHOL/LIQ IN VEHICLE
5/16/2019 ,AGGR UNLAWFUL USE OF WEAPON        
5/16/2019 ,CANNABIS POSS OVER 10 - 100 G -MISD
5/16/2019 ,POSSESSION OF STOLEN FIREARM       
5/16/2019 ,POSSESSION OF CANNABIS             
5/16/2019 ,IMPOUNDED VEHICLE                  
5/16/2019 ,THEFT-MOTOR VEHICLE                
5/14/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/14/2019 ,FAILURE TO REDUCE SPEED            
5/16/2019 ,TRESPASS TO LAND/REAL PROPERTY     
5/15/2019 ,WARRANT-IN STATE                   
5/18/2019 ,BATTERY-DOMESTIC                   
5/18/2019 ,FLEEING OR ATTEMPT TO ELUDE POLICE 
5/18/2019 ,ASSIST OTHER POLICE DEPT           
5/16/2019 ,CRIMINAL DAMAGE TO PROPERTY        
5/19/2019 ,BATTERY-DOMESTIC                   
5/16/2019 ,THEFT-RETAIL                       
5/19/2019 ,WARRANT-IN STATE                   
5/19/2019 ,ASSAULT-AGGRAVATED                 
5/19/2019 ,BATTERY-AGGRAVATED                 
5/19/2019 ,HEROIN OVERDOSE                    
5/19/2019 ,FIELD INTERVIEW                    
5/19/2019 ,FIELD INTERVIEW                    
5/19/2019 ,FIELD INTERVIEW                    
5/19/2019 ,FIELD INTERVIEW                    
5/18/2019 ,FIELD INTERVIEW                    
5/14/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
5/11/2019 ,ACCIDENT HIT AND RUN               
5/11/2019 ,ACCIDENT ON PRIVATE PROPERTY       
5/11/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/12/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/12/2019 ,ACCIDENT HIT AND RUN               
5/12/2019 ,ACCIDENT ON PRIVATE PROPERTY       
5/14/2019 ,THEFT $500 AND UNDER               
5/14/2019 ,FRAUD-CREDIT CARD                  
5/15/2019 ,PROPERTY FORFEITURE-MAINTAIN PUBLIC
5/15/2019 ,ASSIST OTHER POLICE DEPT           
5/15/2019 ,SEARCH WARRANT SERVICE             
5/15/2019 ,CRISIS INTERVEN. - AMBULANCE CALL  
5/15/2019 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
3/13/2019 ,FORGERY                            
3/13/2019 ,DECEPTIVE PRACTICES                
5/15/2019 ,BATTERY-AGGRAVATED                 
5/15/2019 ,CRIMINAL DAMAGE TO PROPERTY        
5/16/2019 ,CRIMINAL DAMAGE TO PROPERTY        
6/16/2019 ,THEFT-RETAIL                       
6/17/2019 ,THEFT OVER $500                    
6/16/2019 ,BURGLARY FROM MOTOR VEHICLE        
6/18/2019 ,THEFT-RETAIL                       
6/17/2019 ,BURGLARY FROM MOTOR VEHICLE        
6/16/2019 ,CRISIS INTERVEN. - SUICIDE IDEATION
6/18/2019 ,MISSING PERSON ADULT/MALE          
6/18/2019 ,BATTERY-DOMESTIC                   
6/10/2019 ,ACCIDENT INVOLVING NON-INJURY      
6/10/2019 ,ACCIDENT ON PRIVATE PROPERTY       
2/12/2019 ,USE/SALE/DEL OF INTOXICATING COMPOU
2/12/2019 ,THEFT-RETAIL                       
2/11/2019 ,IMPROPER LIGHTING/ONE HEADLIGHT    
2/09/2019 ,MIP ALCOHOL/LIQUOR                 
2/10/2019 ,MIP ALCOHOL/LIQUOR                 
3/12/2019 ,ACCIDENT INVOLVING NON-INJURY      
3/12/2019 ,FAILURE TO YIELD AT INTERSECTION   
3/12/2019 ,FRAUD-CREDIT CARD                  
3/12/2019 ,BURGLARY FROM MOTOR VEHICLE        
3/12/2019 ,FAILURE TO SIGNAL                  
3/12/2019 ,SPEEDING (RADAR)                   
3/12/2019 ,SPEEDING (RADAR)                   
3/12/2019 ,SPEEDING (RADAR)                   
3/13/2019 ,CRISIS INTERVEN. - SUICIDE IDEATION
3/13/2019 ,SUICIDE ATTEMPT/CUTTING            
3/13/2019 ,BATTERY-DOMESTIC                   
3/13/2019 ,CRIMINAL DAMAGE TO PROPERTY        
3/13/2019 ,UNLAWFUL RESTRAINT                 
3/11/2019 ,IMPROPER USE OF SIGNAL             
3/11/2019 ,SPEEDING (RADAR)                   
3/11/2019 ,SPEEDING (RADAR)                   
3/14/2019 ,ASSIST AGENCY (OTHER)              
3/14/2019 ,PROPERTY FORFEITURE-MAINTAIN PUBLIC
3/12/2019 ,UNLAWFUL RESTRAINT                 
3/12/2019 ,DOMESTIC-INTERFERENCE WITH REPORT  
3/12/2019 ,BATTERY-DOMESTIC                   
3/13/2019 ,THEFT $500 AND UNDER               
3/16/2019 ,IMPOUNDED VEHICLE                  
3/16/2019 ,DRIVING UNDER SUSPENDED LICENSE    
5/09/2019 ,BATTERY-DOMESTIC                   
5/12/2019 ,BATTERY                            
4/23/2019 ,THEFT-IDENTITY                     
4/23/2019 ,FRAUD-CREDIT CARD                  
5/12/2019 ,WARRANT-IN STATE                   
5/18/2019 ,CRISIS INTERVEN. - SUICIDE IDEATION
5/18/2019 ,SUICIDE THREAT-NO ATTEMPT          
5/18/2019 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
5/18/2019 ,BATTERY-DOMESTIC                   
5/20/2019 ,ASSAULT-AGGRAVATED                 
5/20/2019 ,BATTERY-AGGRAVATED                 
5/18/2019 ,FOUND ARTICLES                     
5/08/2019 ,THEFT OVER $500                    
5/18/2019 ,BATTERY-DOMESTIC                   
5/17/2019 ,OTHER TROUBLE/INFO RPT             
5/19/2019 ,THEFT-RETAIL                       
5/19/2019 ,BATTERY-DOMESTIC                   
5/19/2019 ,CRIMINAL DAMAGE TO PROPERTY        
5/16/2019 ,FAILURE TO REDUCE SPEED            
5/16/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/17/2019 ,FAILURE TO REDUCE SPEED            
5/17/2019 ,ACCIDENT INVOLVING NON-INJURY      
5/17/2019 ,CRISIS INTERVEN. - SUICIDE IDEATION
5/11/2019 ,PEDESTRIAN STOPS                   
5/17/2019 ,SPEEDING (RADAR)                   
5/19/2019 ,IMPROPER TURN AT INTERSECTION      
5/19/2019 ,BATTERY-DOMESTIC                   
5/19/2019 ,BATTERY-DOMESTIC                   
5/19/2019 ,UNLAWFUL RESTRAINT                 
10/29/2019,TRAFFIC SIGN VIOLATION             
11/05/2019,ACCIDENT INVOLVING INJURY          
11/05/2019,DRIVING UNDER THE INFL-ALCOHOL     
11/05/2019,IMPOUNDED VEHICLE                  
11/05/2019,FAILURE TO YIELD FROM STOP SIGN    
10/26/2019,TRAFFIC SIGN VIOLATION             
10/29/2019,SPEEDING (RADAR)                   
10/25/2019,BATTERY                            
10/25/2019,BATTERY                            
10/25/2019,BATTERY                            
10/25/2019,CRIMINAL DAMAGE TO PROPERTY        
11/05/2019,TRESPASS TO LAND/REAL PROPERTY     
11/04/2019,THEFT-RETAIL                       
11/04/2019,WARRANT-IN STATE                   
11/04/2019,RESIST/OBS CORRECT/POLICE/FIRE     
11/04/2019,USE OF FORCE BY OFFICER            
11/01/2019,FIELD INTERVIEW                    
10/31/2019,ACCIDENT INVOLVING NON-INJURY      
10/31/2019,ACCIDENT HIT AND RUN               
11/02/2019,THEFT OF LOST/MISLAID PROPERTY     
11/02/2019,FRAUD-CREDIT CARD                  
11/05/2019,THEFT-MOTOR VEHICLE                
11/05/2019,BURGLARY RESIDENTIAL               
11/03/2019,ACCIDENT INVOLVING INJURY          
11/03/2019,ACCIDENT HIT AND RUN               
11/04/2019,BATTERY -CITY                      
10/30/2019,ACCIDENT INVOLVING NON-INJURY      
10/30/2019,FAILURE TO REDUCE SPEED            
12/02/2019,BATTERY-AGG DOMESTIC               
1/02/2019 ,FOUND ARTICLES                     
1/29/2019 ,BATTERY                            
1/31/2019 ,BATTERY-DOMESTIC                   
1/31/2019 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
1/31/2019 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
1/29/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/29/2019 ,ACCIDENT INVOLVING BICYLE          
1/29/2019 ,ACCIDENT HIT AND RUN               
1/17/2019 ,FIELD INTERVIEW                    
1/17/2019 ,FIELD INTERVIEW                    
1/17/2019 ,FIELD INTERVIEW                    
2/02/2019 ,ILLEGAL TRANSPORTATION OF LIQUOR   
2/02/2019 ,CONTROLLED SUBSTANCE-LOOK-ALIKE    
2/02/2019 ,CONTROLLED SUBSTANCE-POSSESSION    
2/02/2019 ,DRIVING UNDER SUSPENDED LICENSE    
2/02/2019 ,IMPOUNDED VEHICLE                  
2/02/2019 ,POSSESSION OF CANNABIS             
2/02/2019 ,IMPROPER LIGHTING/ONE HEADLIGHT    
2/02/2019 ,NO VALID DL DRIVERS LICENSE        
2/02/2019 ,TERRY STOPS                        
2/02/2019 ,IMPOUNDED VEHICLE                  
2/03/2019 ,RECKLESS DRIVING                   
2/03/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
2/03/2019 ,IMPOUNDED VEHICLE                  
2/03/2019 ,SPEEDING (RADAR)                   
2/03/2019 ,DRIVING UNDER SUSPENDED LICENSE    
2/03/2019 ,IMPOUNDED VEHICLE                  
1/27/2019 ,BATTERY-DOMESTIC                   
2/02/2019 ,BURGLARY RESIDENTIAL               
4/07/2019 ,FAILURE TO REDUCE SPEED            
4/07/2019 ,ACCIDENT INVOLVING NON-INJURY      
4/07/2019 ,CRIMINAL DAMAGE TO PROPERTY        
4/09/2019 ,THEFT-RETAIL                       
4/09/2019 ,LOST DRIVERS LICENSE/PLATE         
4/09/2019 ,THEFT-RETAIL                       
4/05/2019 ,FIELD INTERVIEW                    
4/03/2019 ,SPEEDING (RADAR)                   
4/10/2019 ,NO VALID DL DRIVERS LICENSE        
4/10/2019 ,IMPOUNDED VEHICLE                  
4/10/2019 ,SPEEDING (RADAR)                   
4/02/2019 ,SPEEDING (RADAR)                   
4/07/2019 ,OTHER TROUBLE/INFO RPT             
4/08/2019 ,BURGLARY FROM MOTOR VEHICLE        
4/04/2019 ,IMPROPER USE OF SIGNAL             
4/04/2019 ,SPEEDING (RADAR)                   
4/10/2019 ,PROPERTY FORFEITURE-MAINTAIN PUBLIC
4/10/2019 ,ASSIST AGENCY (OTHER)              
4/10/2019 ,THEFT-RETAIL                       
4/10/2019 ,TRESPASS TO LAND/REAL PROPERTY     
4/11/2019 ,TRAFFIC SIGNAL VIOLATION           
4/11/2019 ,ACCIDENT INVOLVING NON-INJURY      
4/11/2019 ,DRIVING UNDER SUSPENDED LICENSE    
4/11/2019 ,IMPOUNDED VEHICLE                  
4/07/2019 ,IMPROPER USE OF SIGNAL             
4/07/2019 ,IMPROPER USE OF SIGNAL             
4/06/2019 ,UNLAWFUL USE OF I.D.               
4/11/2019 ,LOST DRIVERS LICENSE/PLATE         
5/08/2019 ,NO IMPOUND                         
5/20/2019 ,FAILURE TO YIELD TURNING LEFT      
5/20/2019 ,DRIVING UNDER REVOKED LICENSE      
5/20/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
5/20/2019 ,IMPOUNDED VEHICLE                  
5/20/2019 ,FIELD INTERVIEW                    
5/18/2019 ,THEFT OVER $500                    
5/18/2019 ,EXPIRED REGISTRATION               
5/18/2019 ,ELECTRONIC COMMUNICATION-VOICE     
5/17/2019 ,IMPROPER TURN AT INTERSECTION      
5/18/2019 ,FRAUD-CREDIT CARD                  
5/16/2019 ,OBSTRUCTED REG/IMPROP DISPLAY      
5/16/2019 ,SPEEDING (RADAR)                   
6/27/2019 ,EXPIRED REGISTRATION               
6/28/2019 ,THEFT-RETAIL                       
6/29/2019 ,THEFT-RETAIL                       
6/29/2019 ,WARRANT-IN STATE                   
6/29/2019 ,RESIST/OBS CORRECT/POLICE/FIRE     
6/29/2019 ,THEFT OF LOST/MISLAID PROPERTY     
6/29/2019 ,BURGLARY FROM MOTOR VEHICLE        
6/29/2019 ,ACCIDENT INVOLVING NON-INJURY      
6/29/2019 ,ACCIDENT HIT AND RUN               
6/25/2019 ,ACCIDENT INVOLVING INJURY          
6/25/2019 ,IMPROPER LANE USAGE                
6/25/2019 ,ACCIDENT INVOLVING BICYLE          
7/01/2019 ,BURGLARY FROM MOTOR VEHICLE        
6/28/2019 ,ACCIDENT INVOLVING NON-INJURY      
6/28/2019 ,ACCIDENT HIT AND RUN               
6/30/2019 ,BURGLARY FROM MOTOR VEHICLE        
7/01/2019 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
3/12/2019 ,THEFT OVER $500                    
3/15/2019 ,TRESPASSING                        
3/15/2019 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
3/15/2019 ,SUICIDE THREAT-NO ATTEMPT          
3/11/2019 ,SPEEDING (RADAR)                   
3/12/2019 ,SPEEDING (RADAR)                   
3/16/2019 ,TRESPASS TO LAND/REAL PROPERTY     
3/14/2019 ,ACCIDENT INVOLVING INJURY          
3/14/2019 ,ACCIDENT INVOLVING BICYLE          
3/14/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
3/12/2019 ,SPEEDING (SCHOOL ZONE)             
3/14/2019 ,TRAFFIC SIGN VIOLATION             
3/14/2019 ,FOLLOWING TOO CLOSELY              
3/18/2019 ,IMPOUNDED VEHICLE                  
3/18/2019 ,IMPROPER USE OF REGISTRATION       
3/18/2019 ,NO VALID DL DRIVERS LICENSE        
4/04/2019 ,PEDESTRIAN STOPS                   
4/12/2019 ,SPEEDING (RADAR)                   
4/12/2019 ,ELECTRONIC COMMUNICATION-VOICE     
4/12/2019 ,TRAFFIC SIGN VIOLATION             
4/03/2019 ,PEDESTRIAN STOPS                   
4/16/2019 ,RETAIL THEFT                       
4/13/2019 ,IMPROPER USE OF SIGNAL             
4/16/2019 ,LOST DRIVERS LICENSE/PLATE         
4/11/2019 ,PEDESTRIAN STOPS                   
4/14/2019 ,IMPROPER LIGHTING/ONE HEADLIGHT    
4/14/2019 ,IMPROPER LANE USAGE                
4/08/2019 ,SPEEDING (RADAR)                   
4/17/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
6/10/2019 ,ACCIDENT HIT AND RUN               
5/24/2019 ,THEFT-RETAIL                       
6/19/2019 ,BURGLARY FROM MOTOR VEHICLE        
6/19/2019 ,BURGLARY                           
6/20/2019 ,MENTAL CASE-TRANSPORTATION         
6/21/2019 ,AGG DISCHARGE OF FIREARM           
6/20/2019 ,SPEEDING (RADAR)                   
6/15/2019 ,TRAFFIC SIGN VIOLATION             
6/14/2019 ,TRAFFIC SIGN VIOLATION             
6/18/2019 ,THEFT OVER $500                    
6/22/2019 ,BURGLARY FROM MOTOR VEHICLE        
6/20/2019 ,LOST ARTICLES                      
6/23/2019 ,THEFT-MOTOR VEHICLE                
6/18/2019 ,BATTERY-DOMESTIC                   
6/18/2019 ,BATTERY-DOMESTIC                   
6/23/2019 ,THEFT-MOTOR VEHICLE                
7/27/2019 ,FOUND ARTICLES                     
7/13/2019 ,OTHER EQUIPMENT VIOLATIONS         
5/11/2019 ,DECEPTIVE PRACTICES                
7/26/2019 ,SEXUAL-ASSAULT-CRIMINAL            
7/18/2019 ,THEFT $500 AND UNDER               
7/26/2019 ,BURGLARY RESIDENTIAL               
7/26/2019 ,TRESPASS TO LAND/REAL PROPERTY     
7/26/2019 ,CRIMINAL DAMAGE TO PROPERTY        
7/28/2019 ,NO VALID DL DRIVERS LICENSE        
7/28/2019 ,IMPOUNDED VEHICLE                  
7/27/2019 ,CRIMINAL DAMAGE TO PROPERTY        
7/27/2019 ,ACCIDENT INVOLVING NON-INJURY      
7/27/2019 ,FAILURE TO YIELD TURNING LEFT      
5/16/2019 ,EXPIRED REGISTRATION               
5/15/2019 ,EXPIRED REGISTRATION               
6/27/2019 ,THEFT-MOTOR VEHICLE                
6/28/2019 ,WARRANT-IN STATE                   
6/28/2019 ,DECEPTIVE PRACTICES                
6/28/2019 ,DECEPTIVE PRACTICES                
6/28/2019 ,POSS ALCOHOL/LIQ PUBLIC PROP/PARKIN
6/29/2019 ,DEAD BODY-SUSPICIOUS CIRCUMSTANCES 
6/29/2019 ,DEATH INVESTIGATION                
6/29/2019 ,DRIVING UNDER THE INFL-ALCOHOL     
6/29/2019 ,BREATH ALCOHOL OVER LIMIT          
6/29/2019 ,IMPOUNDED VEHICLE                  
6/21/2019 ,RETAIL THEFT                       
6/25/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
6/28/2019 ,WARRANT-IN STATE                   
6/24/2019 ,THEFT-RETAIL                       
6/28/2019 ,THEFT OVER $500                    
6/30/2019 ,DOMESTIC DISPUTE                   
6/30/2019 ,DISORDERLY CONDUCT-ALL OTHER       
6/30/2019 ,DRUG EQUIPMENT-POSSESSION          
6/30/2019 ,CONTROLLED SUBSTANCE-POSSESSION    
6/30/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
6/30/2019 ,BATTERY-AGG-CHILD                  
6/30/2019 ,BATTERY-AGG-CHILD                  
6/30/2019 ,DOG BITE  HOME                     
6/28/2019 ,FAILURE TO REDUCE SPEED            
6/28/2019 ,ACCIDENT INVOLVING NON-INJURY      
6/30/2019 ,THEFT $500 AND UNDER               
7/01/2019 ,ACCIDENT W/NON-VEH PROP DAMAGE     
7/01/2019 ,FAILURE TO REDUCE SPEED            
7/01/2019 ,ACCIDENT INVOLVING OTHER CITY PROP 
7/01/2019 ,ACCIDENT INVOLVING NON-INJURY      
7/02/2019 ,BURGLARY FROM MOTOR VEHICLE        
7/31/2019 ,ELECTRONIC COMMUNICATION-VOICE     
8/05/2019 ,THEFT GENERALLY                    
8/07/2019 ,FOUND ARTICLES                     
8/05/2019 ,THEFT-MOTOR VEHICLE                
8/06/2019 ,RETAIL THEFT                       
8/06/2019 ,ASSIST STATE POLICE                
8/02/2019 ,FIELD INTERVIEW                    
8/07/2019 ,ELECTRONIC COMMUNICATION-TEXTING   
8/07/2019 ,CANCEL/SUSPEND/REVOKED REGISTRATION
8/07/2019 ,IMPOUNDED VEHICLE                  
8/06/2019 ,BURGLARY FROM MOTOR VEHICLE        
8/06/2019 ,BURGLARY FROM MOTOR VEHICLE        
7/16/2019 ,ACCIDENT INVOLVING NON-INJURY      
7/16/2019 ,TRAFFIC SIGN VIOLATION             
7/22/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
7/22/2019 ,SPEEDING (RADAR)                   
8/01/2019 ,THEFT $500 AND UNDER               
7/26/2019 ,TRAFFIC SIGNAL VIOLATION           
